C000001_cs_000	Zaměstnanci v ozbrojených silách
C000969_cs_001	obsluha lakovacích bubnů
C000970_cs_000	meteorolog/meteoroložka
C000970_cs_001	meteorolog
C000970_cs_002	meteoroložka
C000971_cs_000	kurátor zoo/kurátorka zoo
C000971_cs_001	kurátor chovu zvířat
C000971_cs_002	kurátor zoo
C000971_cs_003	kurátorka chovu zvířat
C000971_cs_004	kurátorka zoo
C000971_cs_005	vedoucí zoolog
C000971_cs_006	vedoucí zooložka
C000972_cs_000	technik konstruktér v leteckém a kosmickém průmyslu/technička konstruktérka v leteckém a kosmickém průmyslu
C000972_cs_001	kreslič v leteckém průmyslu
C000972_cs_002	kreslička v leteckém průmyslu
C000972_cs_003	průmyslová návrhářka v leteckém průmyslu
C000972_cs_004	průmyslový návrhář v leteckém průmyslu
C000972_cs_005	technik konstruktér v leteckém a kosmickém průmyslu
C000972_cs_006	technička konstruktérka v leteckém a kosmickém průmyslu
C000973_cs_000	hasič podnikového sboru/hasička podnikového sboru
C000973_cs_001	hasič podnikového sboru
C000973_cs_002	hasička podnikového sboru
C000973_cs_003	podniková hasička
C000973_cs_004	podnikový hasič
C000974_cs_000	koželuh/koželužka
C000974_cs_001	koželuh
C000974_cs_002	koželužka
C000974_cs_003	obsluha koželužských strojů a zařízení
C000975_cs_000	obsluha manuální řezačky v kožedělném průmyslu
C000976_cs_000	lodní elektrotechnik elektronických zařízení/lodní elektrotechnička elektronických zařízení
C000976_cs_001	lodní elektrotechnik elektronických zařízení
C000976_cs_002	lodní elektrotechnička elektronických zařízení
C000977_cs_000	diskžokej/diskžokejka
C000977_cs_001	diskžokej
C000977_cs_002	diskžokejka
C000978_cs_000	fundraisingový asistent/fundraisingová asistentka
C000978_cs_001	fundraisingová asistentka
C000978_cs_002	fundraisingový asistent
C000979_cs_000	opravář sportovního vybavení/opravářka sportovního vybavení
C000979_cs_001	opravář sportovního vybavení
C000979_cs_002	opravářka sportovního vybavení
C000980_cs_000	ergonom/ergonomka
C000980_cs_001	ergonom
C000980_cs_002	ergonomka
C000981_cs_000	seřizovač brousicího stroje/seřizovačka brousicího stroje
C000981_cs_001	obsluha CNC brusky
C000981_cs_002	obsluha brousicího stroje
C000981_cs_003	obsluha brusky
C000981_cs_004	seřizovač CNC brusky
C000981_cs_005	seřizovač brousicího stroje
C000981_cs_006	seřizovač brusky
C000981_cs_007	seřizovačka CNC brusky
C000981_cs_008	seřizovačka brousicího stroje
C000981_cs_009	seřizovačka brusky
C000982_cs_000	designér automobilů/designérka automobilů
C000982_cs_001	designér automobilů
C000982_cs_002	designérka automobilů
C000983_cs_000	vedoucí pro vydavatelská práva
C000983_cs_001	koordinátor práv
C000983_cs_002	koordinátorka práv
C000984_cs_000	manažer online prodeje/manažerka online prodeje
C000984_cs_001	manažer online prodeje
C000984_cs_002	manažerka online prodeje
C000985_cs_000	příslušník speciálních sil/příslušnice speciálních sil
C000985_cs_001	příslušnice protiteroristické jednotky
C000985_cs_002	příslušnice speciálních sil
C000985_cs_003	příslušnice speciálního komanda
C000985_cs_004	příslušnice výsadkových sil
C000985_cs_005	příslušník protiteroristické jednotky
C000985_cs_006	příslušník speciálních sil
C000985_cs_007	příslušník speciálního komanda
C000985_cs_008	příslušník výsadkových sil
C000985_cs_009	zpravodajská důstojnice
C000985_cs_010	zpravodajský důstojník
C000986_cs_000	obsluha jeřábů ve výrobním závodě
C000986_cs_001	jeřábnice ve výrobním závodě
C000986_cs_002	jeřábník ve výrobním závodě
C000987_cs_000	projektant elektromechanických zařízení/projektantka elektromechanických zařízení
C000987_cs_001	projektant elektromechanických zařízení
C000987_cs_002	projektantka elektromechanických zařízení
C000988_cs_000	analytik pojistného rizika/analytička pojistného rizika
C000988_cs_001	analytik pojistného rizika
C000988_cs_002	analytička pojistného rizika
C000988_cs_003	pojistná analytička
C000988_cs_004	pojistný analytik
C000989_cs_000	seřizovač stroje pro řezání vodním paprskem/seřizovačka stroje pro řezání vodním paprskem
C000989_cs_001	obsluha stroje pro řezání vodním paprskem
C000989_cs_002	pracovnice obsluhující stroj pro řezání vodním paprskem
C000989_cs_003	pracovník obsluhující stroj pro řezání vodním paprskem
C000989_cs_004	seřizovač stroje pro řezání vodním paprskem
C000989_cs_005	seřizovačka stroje pro řezání vodním paprskem
C000990_cs_000	operátor pivovaru/operátorka pivovaru
C000990_cs_001	operátor pivovaru
C000990_cs_002	operátorka pivovaru
C000990_cs_003	pracovnice pivovaru
C000990_cs_004	pracovník pivovaru
C000991_cs_000	dozor výstavby elektrického vedení
C000992_cs_000	obsluha systému pro doplňování leteckého paliva
C000992_cs_001	obsluha tankovacího systému
C000992_cs_002	pracovnice pro doplňování paliva do letadel
C000992_cs_003	pracovnice zajišťující tankování letadel
C000992_cs_004	pracovník pro doplňování paliva do letadel
C000992_cs_005	pracovník zajišťující tankování letadel
C000993_cs_000	učitel tance/učitelka tance
C000993_cs_001	učitel tance
C000993_cs_002	učitelka tance
C000994_cs_000	cvičitel zvířat/cvičitelka zvířat
C000994_cs_001	cvičitel zvířat
C000994_cs_002	cvičitelka zvířat
C000994_cs_003	psovod
C000994_cs_004	psovodka
C000994_cs_005	trenér zvířat
C000994_cs_006	trenérka zvířat
C000995_cs_000	manažer pro dovoz a vývoz květin a rostlin/manažerka pro dovoz a vývoz květin a rostlin
C000995_cs_001	manažer pro dovoz a vývoz květin a rostlin
C000995_cs_002	manažerka pro dovoz a vývoz květin a rostlin
C000996_cs_000	asistent pedagoga pro děti se speciálními vzdělávacími potřebami/asistentka pedagoga pro děti se speciálními vzdělávacími potřebami
C000996_cs_001	asistent pedagoga pro děti se speciálními vzdělávacími potřebami
C000996_cs_002	asistentka pedagoga pro děti se speciálními vzdělávacími potřebami
C000997_cs_000	obsluha šaten se zamykacími skříňkami
C000998_cs_000	obsluha pojízdného jeřábu
C000998_cs_001	obsluha autojeřábu
C000998_cs_002	obsluha portálového jeřábu
C000998_cs_003	obsluha samojízdného jeřábu
C000999_cs_000	energetický analytik/energetická analytička
C000999_cs_001	analytik energetického trhu
C000999_cs_002	analytička energetického trhu
C000999_cs_003	energetická analytička
C000999_cs_004	energetický analytik
C001000_cs_000	čistič kanalizací/čistička kanalizací
C001000_cs_001	čistič kanalizací
C001000_cs_002	čistička kanalizací
C001001_cs_000	pracovník služeb podpory pěstounské péče/pracovnice služeb podpory pěstounské péče
C001001_cs_001	pracovnice služeb podpory pěstounské péče
C001001_cs_002	pracovník služeb podpory pěstounské péče
C001002_cs_000	pracovník auditního oddělení/pracovnice auditního oddělení
C001002_cs_001	pracovnice auditního oddělení
C001002_cs_002	pracovnice vnitropodnikové kontroly
C001002_cs_003	pracovník auditního oddělení
C001002_cs_004	pracovník vnitropodnikové kontroly
C001003_cs_000	zemědělský technik/zemědělská technička
C001003_cs_001	zemědělská technička
C001003_cs_002	zemědělský technik
C001004_cs_000	manažer pro řízení kvality koženého zboží / manažerka pro řízení kvality koženého zboží
C001004_cs_001	manažer jakosti kožedělných výrobků
C001004_cs_002	manažer pro řízení kvality kožedělného zboží
C001004_cs_003	manažerka jakosti kožedělných výrobků
C001004_cs_004	manažerka pro řízení kvality kožedělného zboží
C001005_cs_000	komponentový inženýr/komponentová inženýrka
C001005_cs_001	komponentová inženýrka
C001005_cs_002	komponentový inženýr
C001006_cs_000	specialista v oblasti techniky prostředí staveb, vytápění a vzduchotechniky/specialistka v oblasti techniky prostředí staveb, vytápění a vzduchotechniky
C001006_cs_001	specialista v oblasti techniky prostředí staveb, vytápění a vzduchotechniky
C001006_cs_002	specialistka v oblasti techniky prostředí staveb, vytápění a vzduchotechniky
C001007_cs_000	diplomat/diplomatka
C001007_cs_001	diplomat
C001007_cs_002	diplomatka
C001007_cs_003	vysoká komisařka
C001007_cs_004	vysoký komisař
C001008_cs_000	pracovník obsluhy strojů ve vinici/pracovnice obsluhy strojů ve vinici
C001008_cs_001	pracovnice obsluhy strojů ve vinici
C001008_cs_002	pracovník obsluhy strojů ve vinici
C001009_cs_000	lodivod/lodivodka
C001010_cs_000	inženýr energetických systémů/inženýrka energetických systémů
C001010_cs_001	inženýr distribučních systémů
C001010_cs_002	inženýr energetických systémů
C001010_cs_003	inženýr systémů pro přeměnu energie
C001010_cs_004	inženýr v oboru úspora energie
C001010_cs_005	inženýrka distribučních systémů
C001010_cs_006	inženýrka energetických systémů
C001010_cs_007	inženýrka systémů pro přeměnu energie
C001010_cs_008	inženýrka v oboru úspora energie
C001011_cs_000	inženýr v oboru elektromagnetiky/inženýrka v oboru elektromagnetiky
C001011_cs_001	inženýr v oboru elektromagnetiky
C001011_cs_002	inženýrka v oboru elektromagnetiky
C001011_cs_003	specialista na elektromagnetické technologie
C001011_cs_004	specialistka na elektromagnetické technologie
C001012_cs_000	mistr montáže lodí/mistrová montáže lodí
C001012_cs_001	mistr montáže lodí
C001012_cs_002	mistrová montáže lodí
C001012_cs_003	vedoucí montáže lodí
C001013_cs_000	archeolog/archeoložka
C001013_cs_001	archeolog
C001013_cs_002	archeoložka
C001014_cs_000	pracovník relokační služby/pracovnice relokační služby
C001014_cs_001	pracovnice relokační služby
C001014_cs_002	pracovník relokační služby
C001015_cs_000	potápěč-sběrač/potápěčka-sběračka
C001015_cs_001	potápěč-sběrač
C001015_cs_002	potápěčka-sběračka
C001016_cs_000	pracovník pro sběr mořských a sladkovodních živočichů/pracovnice pro sběr mořských a sladkovodních živočichů
C001016_cs_001	pracovnice pro sběr mořských a sladkovodních živočichů
C001016_cs_002	pracovník pro sběr mořských a sladkovodních živočichů
C001017_cs_000	manažer podpory rozhodování/manažerka podpory rozhodování
C001017_cs_001	konzultant pro business inteligence
C001017_cs_002	konzultantka pro business inteligence
C001017_cs_003	manažer podpory rozhodování
C001017_cs_004	manažerka podpory rozhodování
C001018_cs_000	obsluha automatického vysekávacího stroje v kožedělné výrobě
C001018_cs_001	obsluha programově řízeného vysekávacího stroje v kožedělné výrobě
C001018_cs_002	strojnice automatického vyřezávacího stroje v kožedělné výrobě
C001018_cs_003	strojník automatického vyřezávacího stroje v kožedělné výrobě
C001019_cs_000	referent pro vztahy s odbory/referentka pro vztahy s odbory
C001019_cs_001	referent pro vztahy s odbory
C001019_cs_002	referentka pro vztahy s odbory
C001020_cs_000	mistr betonář
C001021_cs_000	sportovní manažer/sportovní manažerka
C001021_cs_001	manažer sportovní organizace
C001021_cs_002	manažer sportovního klubu
C001021_cs_003	manažerka sportovní organizace
C001021_cs_004	manažerka sportovního klubu
C001021_cs_005	sportovní manažer
C001021_cs_006	sportovní manažerka
C001022_cs_000	pracovník pro dohled nad vinicí/pracovnice pro dohled nad vinicí
C001022_cs_001	pracovnice pro dohled nad vinicí
C001022_cs_002	pracovník pro dohled nad vinicí
C001023_cs_000	automechanik-specialista na skla/automechanička-specialistka na skla
C001023_cs_001	automechanik - specialista na skla
C001023_cs_002	automechanička - specialistka na skla
C001023_cs_003	autosklář
C001023_cs_004	autosklářka
C001024_cs_000	provozovatel zařízení poskytujícího nocleh se snídaní/provozovatelka zařízení poskytujícího nocleh se snídaní
C001024_cs_001	provozovatel zařízení poskytujícího nocleh se snídaní
C001024_cs_002	provozovatelka zařízení poskytujícího nocleh se snídaní
C001025_cs_000	obsluha řídícího centra ropné rafinérie
C001025_cs_001	operátor velínu ropné rafinérie
C001025_cs_002	operátorka velínu ropné rafinérie
C001026_cs_000	obsluha strojů na řezání dýh
C001027_cs_000	odhadce výrobních nákladů/odhadkyně výrobních nákladů
C001027_cs_001	odhadce výrobních nákladů
C001027_cs_002	odhadkyně výrobních nákladů
C001028_cs_000	tranzitér přípravář / tranzitérka přípravářka
C001028_cs_001	obsluha brzd
C001028_cs_002	obsluha návěstidel
C001028_cs_003	obsluha výhybek
C001028_cs_004	tranzitér
C001028_cs_005	traťová dělnice
C001028_cs_006	traťový dělník
C001029_cs_000	barvíř/barvířka vzorků
C001029_cs_001	barvíř vzorků
C001029_cs_002	barvířka vzorků
C001030_cs_000	kontrolor v ropném odvětví/kontrolorka v ropném odvětví
C001030_cs_001	cejchovní úřednice
C001030_cs_002	cejchovní úředník
C001030_cs_003	gauger
C001030_cs_004	kontrolor hladiny ropy v zásobnících
C001030_cs_005	kontrolor v ropném odvětví
C001030_cs_006	kontrolorka hladiny ropy v zásobnících
C001030_cs_007	kontrolorka v ropném odvětví
C001030_cs_008	měřič
C001030_cs_009	měřička
C001031_cs_000	promotér/promotérka
C001031_cs_001	promotér
C001031_cs_002	promotérka
C001032_cs_000	asistent při propagačních akcích/asistentka při propagačních akcích
C001032_cs_001	asistent při propagačních akcích
C001032_cs_002	asistentka při propagačních akcích
C001032_cs_003	koordinátor propagačních akcí
C001032_cs_004	koordinátorka propagačních akcí
C001033_cs_000	pracovník deratizace a dezinfekce/pracovnice deratizace a dezinfekce
C001033_cs_001	pracovnice deratizace a dezinfekce
C001033_cs_002	pracovník deratizace a dezinfekce
C001034_cs_000	finanční poradce/finanční poradkyně
C001034_cs_001	finanční poradce
C001034_cs_002	finanční poradkyně
C001034_cs_003	osobní bankéř
C001034_cs_004	osobní bankéřka
C001035_cs_000	lektor mluveného projevu/lektorka mluveného projevu
C001035_cs_001	lektor mluveného projevu
C001035_cs_002	lektor rétoriky
C001035_cs_003	lektor řečnictví
C001035_cs_004	lektorka mluveného projevu
C001035_cs_005	lektorka rétoriky
C001035_cs_006	lektorka řečnictví
C001036_cs_000	stavební dělník ve vodním hospodářství/stavební dělnice ve vodním hospodářství
C001036_cs_001	stavební dělnice ve vodním hospodářství
C001036_cs_002	stavební dělník ve vodním hospodářství
C001037_cs_000	technik barvení textilií /technička barvení textilií
C001037_cs_001	operátor barevny
C001037_cs_002	operátorka barevny
C001037_cs_003	pracovnice barvení textilií
C001037_cs_004	pracovník barvení textilií
C001037_cs_005	technik barvení textilií
C001037_cs_006	technička barvení textilií
