C000001_no_000	Militære yrker og uoppgitt
C001320_no_003	ekspeditør, forhandler av hørselstekniske hjelpemidler
C001320_no_004	selger, høreapparater
C001320_no_005	selger, hørselstekniske hjelpemidler
C001320_no_006	spesialisert selger, hørselstekniske hjelpemidler
C001321_no_000	sjømann
C001321_no_001	jungmann
C001321_no_002	lettmatros
C001322_no_000	regionsjef, handel
C001322_no_001	regional salgssjef
C001323_no_000	glassgravør
C001323_no_001	glassdekoratør
C001323_no_002	glassetser
C001324_no_000	praksisveileder for sosialarbeidsstudenter
C001325_no_000	maskinoperatør, såpekomprimering
C001325_no_001	maskinarbeider, såpekomprimering
C001325_no_002	operatør, såpekomprimeringsmaskin
C001325_no_003	produksjonsmedarbeider, såpe
C001325_no_004	prosessoperatør, såpe
C001326_no_000	teknisk tilsynsmedarbeider
C001326_no_001	AOI-maskinoperatør
C001326_no_002	AOI-operatør
C001326_no_003	operatør, automatisert optisk inspeksjon
C001326_no_004	operatør, utstyr for automatisert optisk inspeksjon
C001327_no_000	operatør av metallsag
C001327_no_001	maskinoperatør, metallsaging
C001327_no_002	metallsager
C001327_no_003	operatør, metallsagemaskin
C001328_no_000	butikksjef, byggematerialer
C001328_no_001	daglig leder, byggevarebutikk
C001328_no_002	sjef, byggevarehus
C001329_no_000	sykkelbud
C001330_no_000	grossist
C001331_no_000	forhandler av reiselivskontrakt
C001332_no_000	import-/eksportspesialist innen jernvare- og VVS-utstyr
C001333_no_000	forsker i sosialarbeid
C001334_no_000	produksjonssjef, klær
C001334_no_001	direktør, klesvirksomhet
C001335_no_000	fiskerikonsulent
C001336_no_000	sosialarbeider innen eldreomsorg
C001337_no_000	fotballtrener
C001338_no_000	kjeleoperatør, tyggegummiproduksjon
C001338_no_001	maskinoperatør, tyggegummiproduksjon
C001338_no_002	produksjonsmedarbeider, tyggegummi
C001339_no_000	servicetekniker, bil
C001339_no_001	servicemekaniker, buss
C001339_no_002	servicemekaniker, lastebil
C001340_no_000	filmprodusent
C001341_no_000	trader, aksjemarkedet
C001342_no_000	lærer på Steiner-skole
C001343_no_000	operatør, sandpapirslipemaskin
C001343_no_001	maskinarbeider, sliping av tre
C001343_no_002	maskinoperatør, sliping av tre
C001344_no_000	operatør av sandblåser
C001344_no_001	operatør, sandblåsekabinett
C001344_no_002	operatør, sandblåsemaskin
C001344_no_003	sandblåser
C001345_no_000	butikksjef, fisk og skalldyr
C001345_no_001	daglig leder, fiskebutikk
C001345_no_002	daglig leder, fiskehandel
C001345_no_003	fiskebutikksjef
C001346_no_000	sjef for bedriftstjenester
C001346_no_001	leder, bedriftstjenester
C001346_no_002	leder, profesjonelle tjenester
C001346_no_003	sjef, profesjonelle tjenester
C001347_no_000	musikkinstrumenttekniker
C001347_no_001	fiolinreparatør
C001347_no_002	fiolinstemmer
C001347_no_003	instrumentreparatør
C001347_no_004	instrumentstemmer
C001347_no_005	musikkinstrumentstemmer
C001347_no_006	orgelreparatør
C001347_no_007	orgelstemmer
C001347_no_008	pianoreparatør
C001347_no_009	pianostemmer
C001347_no_010	reparatør, musikkinstrumenter
C001348_no_000	flygeleder
C001349_no_000	universitetslærer i veterinærmedisin
C001350_no_000	bryggeriarbeider
C001350_no_001	ansvarlig, gjæringstank, ølproduksjon
C001350_no_002	gjæringsmedarbeider
C001350_no_003	operatør, gjæringsutstyr
C001351_no_000	modellbygger
C001352_no_000	hotellportier
C001352_no_001	pikkolo
C001352_no_002	portier
C001352_no_003	resepsjonshjelper
C001353_no_000	bilutleier
C001353_no_001	kundebehandler, utleie av biler
C001353_no_002	medarbeider, utleie av biler
C001353_no_003	utleieansvarlig, biler
C001353_no_004	utleiekonsulent, biler
C001353_no_005	utleiemedarbeider, biler
C001353_no_006	utleier, biler
C001354_no_000	telekommunikasjonsleder
C001354_no_001	IKT-sjef
C001354_no_002	telekomleder
C001354_no_003	telekommunikasjonssjef
C001354_no_004	telekomsjef
C001355_no_000	tekniker, VVS-anlegg
C001356_no_000	kriminaletterforsker
C001357_no_000	studiementor
C001358_no_000	databaseintegrerer
C001359_no_000	import-/eksportspesialist innen drikkevarer
C001360_no_000	musikkterapeut
C001361_no_000	universitetslærer i tannlegevitenskap
C001362_no_000	kaffesmaker
C001362_no_001	prøvesmaker, kaffe
C001363_no_000	vaskeriarbeider, stryking
C001363_no_001	klesstryker
C001363_no_002	stryker, vaskeri
C001364_no_000	bagasjeportør
C001364_no_001	bagasjemedarbeider
C001364_no_002	bagasjesjauer
C001364_no_003	laste- og lossearbeider, flyplass
C001364_no_004	stuer
C001365_no_000	maskinoperatør, lærproduksjon
C001365_no_001	maskinoperatør, garveri
C001365_no_002	maskinoperatør, lærbearbeiding
C001366_no_000	forskningsingeniør
C001367_no_000	yrkesfaglærer i bedriftsledelse
C001368_no_000	klimatolog
C001369_no_000	baderomsinstallatør
C001369_no_001	baderomsmontør
C001369_no_002	medarbeider, renovering av bad
C001369_no_003	montør, baderomsmøbler
C001370_no_000	maskinoperatør, lærvarer
C001370_no_001	maskinarbeider, lærvarer
C001370_no_002	maskinoperatør, sying av lærvarer
C001370_no_003	produksjonsmedarbeider, lærvarer
C001371_no_000	corporate treasurer
C001371_no_001	finanssjef
C001372_no_000	politisk kampanjemedarbeider
C001373_no_000	montør, elektrisk utstyr
C001373_no_001	montør, elektriske produkter
C001373_no_002	produksjonsmedarbeider, elektrisk utstyr
C001373_no_003	produksjonsmedarbeider, elektriske produkter
C001374_no_000	driftstekniker ved forbrenningsanlegg
C001375_no_000	pilatestrener
C001376_no_000	IKT-tekniker
C001377_no_000	idrettstrener
C001378_no_000	operatør, steinsliper
C001378_no_001	maskinarbeider, sliping av stein
C001378_no_002	maskinoperatør, sliping av stein
C001378_no_003	operatør, steinslipemaskin
C001378_no_004	steinsliper
C001379_no_000	grossist innen huder, skinn og lærprodukter
C001380_no_000	pantelånmedarbeider
C001381_no_000	import-/eksportspesialist innen blomster og planter
C001382_no_000	kassaoperatør for lotteri
C001382_no_001	lotteriselger
C001383_no_000	sportekniker, jernbane
C001384_no_000	sjef for byggsikkerhet
C001385_no_000	administrasjonssjef ved domstol
C001385_no_001	administrativ leder, domstol
C001386_no_000	teknisk tegner, rullende materiell
C001387_no_000	barnepasser, dagtid
C001387_no_001	barnepasser, barnehage
C001388_no_000	toksikolog
C001389_no_000	boreingeniør
C001390_no_000	humanitær bistandsrådgiver
C001391_no_000	CAD-mønsterkonstruktør, sko
C001391_no_001	CAD-mønsterkonstruktør
C001391_no_002	CAD-operatør, sko
C001391_no_003	mønsterkonstruktør, sko
C001392_no_000	spesialisert selger, dataspill, multimedia og programvare
C001392_no_001	selger, dataspill
C001392_no_002	selger, dataspill og programvare
C001392_no_003	selger, programvare
C001392_no_004	selger, programvare og multimedia
C001392_no_005	spesialisert selger, dataspill
C001392_no_006	spesialisert selger, dataspill og programvare
C001392_no_007	spesialisert selger, multimedieprogramvare
C001392_no_008	spesialisert selger, programvare
C001392_no_009	spesialisert selger, programvare og multimedia
C001393_no_000	vedlikeholdstekniker, kloakknett
C001394_no_000	megler
C001395_no_000	statsråd
C001395_no_001	minister
C001396_no_000	produksjonsleder
C001397_no_000	sprengstofftekniker
C001398_no_000	kroppskunstner
C001399_no_000	maskinoperatør, bleking av papirmasse
C001399_no_001	medarbeider, bleking av papir
C001399_no_002	operatør, blekehollender
C001400_no_000	nettverksmarkedsfører
C001401_no_000	dekormaler
C001401_no_001	dekormaler, glass
C001401_no_002	dekormaler, husholdningsgjenstander
C001401_no_003	dekormaler, keramikk
C001401_no_004	keramikkmaler
C001401_no_005	rosemaler
C001402_no_000	takmontør
C001402_no_001	installatør, nedhengt tak
C001402_no_002	installatør, takfliser
C001402_no_003	montør, nedhengt tak
C001402_no_004	montør, takfliser
C001402_no_005	takinstallatør
C001402_no_006	takinstallatør, boliger
C001402_no_007	takinstallatør, næringsbygg
C001402_no_008	takmontør, boliger
C001402_no_009	takmontør, industribygg
C001402_no_010	takmontør, næringsbygg
C001403_no_000	spesialisert selger, bensinstasjon
C001403_no_001	selger, bensinstasjon
C001403_no_002	servicemedarbeider, bensinstasjon
C001404_no_000	borearbeider på oljeplattform
C001405_no_000	korrosjonstekniker
C001406_no_000	tekniker innen produktutvikling
C001407_no_000	salmaker, båt
C001407_no_001	båtinnreder
C001407_no_002	møbeltapetserer, båt
C001408_no_000	destinasjonsleder
C001408_no_001	DMO-leder
C001408_no_002	markedsføringssjef, destinasjoner
C001408_no_003	sjef, destinasjonsutvikling
C001408_no_004	strategisjef, turisme
C001409_no_000	operatør av tungt utstyr under jorden
C001409_no_001	maskinfører, gruve
C001409_no_002	operatør, gruvemaskiner
C001410_no_000	operatør av veihøvel
C001410_no_001	fører, veihøvel
C001410_no_002	fører, veiskrape
C001410_no_003	operatør, veiskrape
C001411_no_000	arbeidsformidler
C001412_no_000	import-/eksportsjef innen parfyme og kosmetikk
C001412_no_001	ansvarlig, internasjonal handel, parfyme og kosmetikk
C001412_no_002	eksportsjef, parfyme og kosmetikk
C001412_no_003	importsjef, parfyme og kosmetikk
C001412_no_004	tollansvarlig, parfyme og kosmetikk
C001413_no_000	domstolssekretær, korrekturleser
C001414_no_000	solenergiingeniør
C001415_no_000	inspektør, rullende materiell
C001416_no_000	tegner
C001417_no_000	feiermester
C001417_no_001	arbeidsleder, skorsteinsfeiing
C001417_no_002	feierformann
C001417_no_003	feierleder
C001418_no_000	import-/eksportsjef innen kaffe, te, kakao og krydder
C001418_no_001	ansvarlig, internasjonal handel, kaffe, te, kakao og krydder
C001418_no_002	eksportsjef, kaffe, te, kakao og krydder
C001418_no_003	importsjef, kaffe, te, kakao og krydder
C001418_no_004	tollansvarlig, kaffe, te, kakao og krydder
C001419_no_000	maskinoperatør, planhøvel
C001419_no_001	høveloperatør
C001419_no_002	høvler
C001419_no_003	høvleriarbeider
C001419_no_004	maskinoperatør, høvleri
C001419_no_005	operatør, høvel
C001420_no_000	arbeidsleder, produksjon av optiske instrumenter
C001421_no_000	operatør av veivalse
C001421_no_001	fører, veivalse
C001421_no_002	veivalseoperatør
C001422_no_000	produsent av meieriprodukter
C001422_no_001	fløteprodusent
C001422_no_002	iskremprodusent
C001422_no_003	jogurtprodusent
C001422_no_004	meierist, gårdsproduksjon
C001422_no_005	osteprodusent
C001422_no_006	smøreostprodusent
C001422_no_007	smørprodusent
C001422_no_008	yster
C001423_no_000	hydrograf
C001424_no_000	maskinoperatør, keramikkpresse
C001424_no_001	keramikkpresseoperatør, produksjon av avløpsrør
C001424_no_002	operatør, ekstruderingspresse
C001425_no_000	helseinspektør
C001426_no_000	batteritester
C001426_no_001	batterikontrollør
C001426_no_002	batteritekniker
C001426_no_003	diagnosetekniker, batterier
C001426_no_004	laboratoritekniker, testing av batterier
C001426_no_005	produkttester, batterier
C001426_no_006	testlabmedarbeider, batterier
C001427_no_000	dørvakt
C001427_no_001	portier
C001427_no_002	utkaster
C001428_no_000	atferdsforsker
C001429_no_000	tekniker, bilteknikk
C001430_no_000	arealplanlegger
C001431_no_000	glasspolerer
C001431_no_001	operatør, glasslipemaskin
C001431_no_002	operatør, glasspoleringsmaskin
C001431_no_003	operatør, kantslipemaskin
C001431_no_004	poleringsmedarbeider, glassproduksjon
C001431_no_005	produksjonsmedarbeider, polering av plateglass
C001432_no_000	distribusjonssjef innen landbruksråvarer, frø og dyrefôr
C001432_no_001	distribusjonsplanlegger, landbruksråvarer, frø og dyrefôr
C001432_no_002	forsyningsleder, landbruksråvarer, frø og dyrefôr
C001432_no_003	forsyningsplanlegger, landbruksråvarer, frø og dyrefôr
C001432_no_004	logistikkplanlegger, landbruksråvarer, frø og dyrefôr
C001432_no_005	logistikksjef, landbruksråvarer, frø og dyrefôr
C001433_no_000	operatør av tretørkeovn
C001433_no_001	ovnsoperatør, tørking av tre
C001433_no_002	tørkeovnsoperatør
C001434_no_000	renserisjef
C001434_no_001	daglig leder, renseri
C001434_no_002	daglig leder, selvbetjent vaskeri
C001434_no_003	daglig leder, vaskeri
C001434_no_004	daglig leder, vaskeri/renseri
C001434_no_005	vaskerisjef
C001435_no_000	budsjettsjef
C001435_no_001	budsjett- og analyseansvarlig
C001435_no_002	budsjett- og planleggingsansvarlig
C001435_no_003	budsjettkoordinator
C001435_no_004	budsjettrådgiver
C001436_no_000	sikkerhetssjef, luftfart
C001436_no_001	sikkerhetssjef, flyplass
C001436_no_002	sikkerhetssjef, flyside
C001437_no_000	lastebilsjåfør
C001437_no_001	bilbud
C001437_no_002	langtransportsjåfør
C001437_no_003	sjåfør, godstransport
C001437_no_004	sjåfør, levering av pakker
C001437_no_005	varebilsjåfør
C001438_no_000	musikkarrangør
C001439_no_000	avvanningstekniker
C001439_no_001	avvanningsoperatør
C001439_no_002	operatør, avvanningsfilter
C001439_no_003	operatør, avvanningsutstyr
C001439_no_004	operatør, overflateavvanning
C001439_no_005	tekniker, avvanningsutstyr
C001440_no_000	IKT-kapasitetsplanlegger
C001441_no_000	leder, metallurgi
C001441_no_001	leder, metallurgisk produksjon
C001441_no_002	metallurg
C001441_no_003	sjefmetallurg
C001442_no_000	driftssjef, landbruk
C001442_no_001	bonde
C001442_no_002	driftsleder, gård
C001442_no_003	gårdbruker
C001443_no_000	flygelederinstruktør
C001444_no_000	produksjonsleder, plast- og gummiprodukter
C001445_no_000	IKT-applikasjonskonfigurator
C001446_no_000	it-lærer
C001447_no_000	sjef ved kredittforetak
C001447_no_001	filialsjef, kredittforening
C001447_no_002	sjef, kredittforening
C001448_no_000	laboratorietekniker, kvalitetskontroll av lærvarer
C001449_no_000	VVS-tekniker
C001449_no_001	VVS-tekniker, avløp
C001449_no_002	VVS-tekniker, overvann
C001449_no_003	avløpskontrollør
C001449_no_004	avløpsreparatør
C001449_no_005	avløpstekniker
C001449_no_006	miljøtekniker, avløp
C001449_no_007	prosjekttekniker, avløp
C001449_no_008	vann- og avløpstekniker
C001450_no_000	yrkesfaglærer i energi og elektrisitet
C001451_no_000	urteterapeut
C001452_no_000	butikksjef, lyd- og bildeutstyr
C001452_no_001	butikksjef, multimedieustyr
C001452_no_002	butikksjef, underholdningselektronikk
C001452_no_003	daglig leder, forhandler av lyd- og bildeutstyr
C001452_no_004	videobutikksjef
C001453_no_000	kjørelærer, buss
C001453_no_001	kjørelærer, klasse D
C001453_no_002	kjøreskolelærer, buss
C001453_no_003	trafikklærer, buss
C001454_no_000	brønnborer
C001454_no_001	borer, vannbrønn
C001454_no_002	brønnborer, fastland
C001454_no_003	brønntekniker
C001455_no_000	fotolærer
C001456_no_000	yrkesfaglærer i verktøy- og maskinbruk
C001457_no_000	bygg- og anleggsarbeider
C001457_no_001	anleggsarbeider
C001458_no_000	helikopterpilot
C001459_no_000	bademester
C001459_no_001	oppsynsmann, strand
C001459_no_002	oppsynsmann, svømmebasseng
C001459_no_003	rengjører, svømmebasseng
C001460_no_000	markedsfører
C001461_no_000	reklamekonsulent
C001462_no_000	universitetslærer i journalistikk
C001463_no_000	kontrollromoperatør ved gassanlegg
C001464_no_000	butikksjef, klokker og smykker
C001464_no_001	butikksjef, edelstener og gullsmedvarer
C001464_no_002	daglig leder, forhandler av edelstener og gullsmedvarer
C001464_no_003	daglig leder, forhandler av klokker og smykker
C001464_no_004	daglig leder, smykkebutikk
C001464_no_005	sjef, smykkebutikk
C001465_no_000	muddermaskinfører
C001465_no_001	maskinfører, mudring
C001465_no_002	muddermaskinoperatør
C001466_no_000	ingeniør, flytende brensel
C001467_no_000	tekniker, arrangement
C001468_no_000	markedsføringsassistent
C001469_no_000	fotojournalist
C001470_no_000	operatør av kantmaskin
C001470_no_001	kantmaskinoperatør
C001470_no_002	maskinoperatør, kantbehandling
C001471_no_000	grossist innen legemidler
C001471_no_001	grossist innen farmasøytiske produkter
C001472_no_000	språkteknolog
C001473_no_000	leder for sykehusunderholdning
C001474_no_000	fotpleier
C001474_no_001	pedikyrist
C001475_no_000	halalslakter
C001475_no_001	medarbeider, halalslakterbutikk
C001476_no_000	animatør
C001477_no_000	garnspinner
C001477_no_001	operatør, spinnemaskin
C001478_no_000	universitetslærer i kommunikasjon
C001479_no_000	servicetekniker for pengeautomater
C001479_no_001	minibankreparatør
C001479_no_002	servicetekniker, minibanker
C001480_no_000	elektriker
C001480_no_001	elektroreparatør
C001480_no_002	elinstallatør
C001480_no_003	installasjonselektriker
C001481_no_000	kvalitetssikringsingeniør innen lotteri- og spillvirksomhet
C001482_no_000	distribusjonssjef innen tre og byggematerialer
C001482_no_001	distribusjonsplanlegger, tre og byggematerialer
C001482_no_002	forsyningsleder, tre og byggematerialer
C001482_no_003	forsyningsplanlegger, tre og byggematerialer
C001482_no_004	logistikkplanlegger, tre og byggematerialer
C001482_no_005	logistikksjef, tre og byggematerialer
C001483_no_000	sminkør
C001483_no_001	sminkør, teater
C001483_no_002	stylist
C001484_no_000	underwriter, eiendomsforsikring
C001485_no_000	ønolog
C001486_no_000	sommelier
C001486_no_001	sommelier på restaurant
C001486_no_002	vinkelner
C001486_no_003	vinsommelier
C001487_no_000	operatør, sålemaskin
C001487_no_001	bokbinder
C001487_no_002	maskinoperatør, bokbinding
C001487_no_003	maskinoperatør, limhefting
C001487_no_004	medarbeider, bokbinderi
C001487_no_005	operatør, bindemaskin
C001488_no_000	ordbokforfatter
C001489_no_000	lotterisjef
C001489_no_001	daglig leder, lotterivirksomhet
C001490_no_000	fraktspeditør
C001490_no_001	fraktkonsulent
C001490_no_002	spedisjonsmedarbeider
C001490_no_003	speditør
C001490_no_004	trafikkoordinator
C001490_no_005	transportkoordinator
C001491_no_000	kiropraktor
C001492_no_000	operatør av glassmelteovn
C001492_no_001	glasshyttearbeider
C001492_no_002	glassmaskinfører
