C000001_en_000	Armed forces occupations
C001330_en_000	pet and pet food specialised seller
C001330_en_001	animal care products salesperson
C001330_en_002	animal care products specialised seller
C001330_en_003	animal food salesperson
C001330_en_004	animal food specialised seller
C001330_en_005	animal salesperson
C001330_en_006	animal specialised seller
C001330_en_007	pet and pet food salesperson
C001330_en_008	pet and pet food specialized seller
C001330_en_009	pet and pet food superstore salesperson
C001330_en_010	pet and pet food superstore specialised seller
C001330_en_011	pet food salesperson
C001330_en_012	pet food specialised seller
C001330_en_013	pet salesperson
C001330_en_014	pet specialised seller
C001330_en_015	pet superstore salesperson
C001330_en_016	pet superstore specialised seller
C001330_en_017	pet supplies salesperson
C001330_en_018	pet supplies specialised seller
C001331_en_000	attraction operator
C001331_en_001	attraction & ride operator
C001331_en_002	attraction and ride operator
C001331_en_003	attraction supervisor
C001331_en_004	fairground attraction operator
C001331_en_005	ride & attraction operator
C001331_en_006	ride and attraction operator
C001331_en_007	ride leader
C001331_en_008	ride operator
C001331_en_009	ride supervisor
C001331_en_010	senior ride attendant
C001332_en_000	import export specialist in fruit and vegetables
C001332_en_001	assistant export specialist in fruit and vegetables
C001332_en_002	assistant import export specialist in fruit and vegetables
C001332_en_003	assistant import specialist in fruit and vegetables
C001332_en_004	customs compliance specialist in fruit and vegetables
C001332_en_005	graduate export specialist in fruit and vegetables
C001332_en_006	graduate import export specialist in fruit and vegetables
C001332_en_007	graduate import specialist in fruit and vegetables
C001332_en_008	international trade compliance specialist in fruit and vegetables
C001332_en_009	senior export specialist in fruit and vegetables
C001332_en_010	senior import export specialist in fruit and vegetables
C001332_en_011	senior import specialist in fruit and vegetables
C001332_en_012	trainee export specialist in fruit and vegetables
C001332_en_013	trainee import export specialist in fruit and vegetables
C001332_en_014	trainee import specialist in fruit and vegetables
C001333_en_000	licensing officer
C001333_en_001	alcohol licensing officer
C001333_en_002	building authority officer
C001333_en_003	building permit licensing officer
C001333_en_004	business permit licensing officer
C001333_en_005	driver licensing officer
C001333_en_006	fire protection licensing officer
C001333_en_007	fire protection specialist
C001333_en_008	license inspector
C001333_en_009	licensing compliance officer
C001333_en_010	licensing examiner
C001333_en_011	licensing standards officer
C001333_en_012	patents officer
C001333_en_013	restaurant licensing officer
C001333_en_014	technology licensing officer
C001334_en_000	occupational driving instructor
C001334_en_001	HGV driving instructor
C001334_en_002	LGV driving instructor
C001334_en_003	PCV driving instructor
C001334_en_004	heavy equipment operator instructor
C001334_en_005	instructor in occupational driving
C001334_en_006	occupational driving instruction practitioner
C001334_en_007	occupational driving teacher
C001334_en_008	passenger carrying vehicle instructor
C001334_en_009	specialist driving instructor
C001335_en_000	soap maker
C001335_en_001	artisan soap maker
C001335_en_002	maker of soap
C001335_en_003	soap and cosmetics maker
C001335_en_004	soap boiler
C001335_en_005	soap factory operator
C001335_en_006	soapmaker
C001336_en_000	community development officer
C001336_en_001	local community development officer
C001336_en_002	outreach support worker
C001336_en_003	social development officer
C001337_en_000	trolley bus driver
C001337_en_001	bus operator
C001337_en_002	driver of trolley buses
C001337_en_003	guided bus driver
C001337_en_004	transit bus driver
C001337_en_005	trolley bus operator
C001337_en_006	trolleybus driver
C001337_en_007	trolleybus operator
C001338_en_000	audiology equipment specialised seller
C001338_en_001	audiology centre salesperson
C001338_en_002	audiology centre specialised seller
C001338_en_003	audiology equipment salesperson
C001338_en_004	audiology equipment specialized seller
C001338_en_005	audiology salesperson
C001338_en_006	audiology shop salesperson
C001338_en_007	audiology shop specialised seller
C001338_en_008	audiology specialised seller
C001338_en_009	hearing aid salesperson
C001338_en_010	hearing aid specialised seller
C001338_en_011	hearing help salesperson
C001338_en_012	hearing help specialised seller
C001339_en_000	ordinary seaman
C001339_en_001	OS
C001339_en_002	ordinary seawoman
C001339_en_003	seaman recruit
C001339_en_004	seamanship apprentice
C001340_en_000	trade regional manager
C001340_en_001	area sales manager
C001340_en_002	assistant trade regional manager
C001340_en_003	graduate trade regional manager
C001340_en_004	regional product sales manager
C001340_en_005	regional sales and marketing manager
C001340_en_006	regional sales manager
C001340_en_007	senior trade regional manager
C001340_en_008	store trade regional manager
C001340_en_009	trainee trade regional manager
C001341_en_000	glass engraver
C001341_en_001	decorative glass engraver
C001341_en_002	diamond point glass engraver
C001341_en_003	glass decorator
C001341_en_004	glass etcher
C001341_en_005	glass hand etcher
C001341_en_006	heritage glass engraver
C001341_en_007	ornamental glass engraver
C001341_en_008	precision engraver
C001341_en_009	precision etcher
C001342_en_000	social work practice educator
C001342_en_001	practice educator
C001342_en_002	practice placement coordinator
C001342_en_003	practice placement facilitator
C001342_en_004	practice placement worker
C001342_en_005	practice social work educator
C001342_en_006	practice-based educator
C001342_en_007	social work field instructor
C001343_en_000	plodder operator
C001343_en_001	plodder operative
C001343_en_002	plodder worker
C001343_en_003	plodding-machine minder
C001343_en_004	plodding-machine operative
C001343_en_005	plodding-machine operator
C001343_en_006	plodding-machine worker
C001343_en_007	soap compression machine operative
C001343_en_008	soap compression machine operator
C001343_en_009	soap compression machine worker
C001343_en_010	soap production operative
C001343_en_011	soap production worker
C001344_en_000	automated optical inspection operator
C001344_en_001	AOI machine operator
C001344_en_002	AOI operator
C001344_en_003	PCB assembly inspector
C001344_en_004	PCB inspector
C001344_en_005	automated optical inspection machines operator
C001344_en_006	operator of automated optical inspection equipment
C001344_en_007	printed circuit board assembly inspector
C001344_en_008	printed circuit board inspector
C001344_en_009	vision system operator
C001345_en_000	metal sawing machine operator
C001345_en_001	cut-off operative
C001345_en_002	cut-off operator
C001345_en_003	machine power saw operator
C001345_en_004	machine saw operator
C001345_en_005	metal cut-off saw operative
C001345_en_006	metal cut-off saw operator
C001345_en_007	metal cut-off saw trimmer
C001345_en_008	metal cutter
C001345_en_009	metal power saw operator
C001345_en_010	metal power saw technician
C001345_en_011	metal power saw trimmer
C001345_en_012	metal saw operator
C001345_en_013	metal sawing machine operative
C001345_en_014	metal sawing machine technician
C001345_en_015	metal sawing machine worker
C001345_en_016	metal sawyer
C001345_en_017	metal trimmer
C001345_en_018	metalworking power saw operator
C001345_en_019	saw operator
C001345_en_020	saw shop operator
C001345_en_021	saw shop worker
C001345_en_022	sawing machine operative
C001345_en_023	shear operator
C001345_en_024	shear saw operator
C001346_en_000	building materials shop manager
C001346_en_001	builders merchants shop manager
C001346_en_002	builders merchants store manager
C001346_en_003	builders merchants trade counter manager
C001346_en_004	building equipment shop manager
C001346_en_005	building materials DIY shop manager
C001346_en_006	building materials DIY store manager
C001346_en_007	building materials do it yourself shop manager
C001346_en_008	building materials do it yourself store manager
C001346_en_009	building materials store manager
C001346_en_010	construction materials shop manager
C001346_en_011	construction materials store manager
C001347_en_000	bicycle courier
C001347_en_001	bicycle dispatch rider
C001347_en_002	bicycle letter carrier
C001347_en_003	bicycle messenger
C001347_en_004	bicycle package carrier
C001347_en_005	bike courier
C001347_en_006	bike messenger
C001347_en_007	cycle courier
C001347_en_008	cycle messenger
C001348_en_000	wholesale merchant
C001348_en_001	B2B sales consultant
C001348_en_002	assistant wholesale merchant
C001348_en_003	business to business sales consultant
C001348_en_004	business to business seller
C001348_en_005	graduate wholesale merchant
C001348_en_006	senior wholesale merchant
C001348_en_007	trader (wholesale)
C001348_en_008	trainee wholesale merchant
C001348_en_009	wholesale buyer
C001348_en_010	wholesale merchandiser
C001348_en_011	wholesale trader
C001348_en_012	wholesaler
C001349_en_000	tourism contract negotiator
C001349_en_001	contract manager
C001349_en_002	contract negotiator
C001349_en_003	contracts negotiator
C001349_en_004	hotel contract negotiator
C001349_en_005	hotel contracts negotiator
C001349_en_006	travel contract negotiator
C001350_en_000	import export specialist in hardware, plumbing and heating equipment
C001350_en_001	assistant export specialist in hardware, plumbing and heating equipment
C001350_en_002	assistant import export specialist in hardware, plumbing and heating equipment
C001350_en_003	assistant import specialist in hardware, plumbing and heating equipment
C001350_en_004	customs compliance specialist in hardware, plumbing and heating equipment
C001350_en_005	graduate export specialist in hardware, plumbing and heating equipment
C001350_en_006	graduate import export specialist in hardware, plumbing and heating equipment
C001350_en_007	graduate import specialist in hardware, plumbing and heating equipment
C001350_en_008	senior export specialist in hardware, plumbing and heating equipment
